state0,state1,reward
49,49,-485.0
48,48,-485.0
47,47,-485.0
8,19,-56.5945
19,125,-95.941
29,138,-39.5435
151,54,-128.995
4,559,-93.0915
22,66,-5.4268
3,235,-245.0055
4,27,-226.0015
15,96,-125.0535
4,5,-260.676
24,198,-61.24850000000001
7,336,-120.781
45,398,-2.3434500000000007
11,423,-49.12300000000001
7,9,-239.803
4,385,-151.12400000000005
23,243,-54.283
16,195,-107.0925
184,296,2.6899900000000003
158,87,-75.06499999999997
73,315,-5.43535
5,376,-133.2805
5,4,-328.0705
13,17,-208.418
3,34,-300.2715
94,4,-349.8375
17,101,-107.2775
14,59,-90.095
20,171,-87.15799999999999
61,27,-242.3805
19,75,-59.3565
4,6,-222.0795
96,57,-143.113
51,46,-163.37900000000005
7,6,-312.25
83,317,-12.083499999999995
90,10,-303.478
4,86,-289.346
30,29,-207.5705
59,8,-343.5245
114,7,-300.6295
213,367,2.23486
3,101,-309.54
143,167,-18.061550000000004
28,6,-378.865
6,27,-133.941
126,877,-60.096000000000004
3,320,-208.1095
26,72,14.183649999999998
171,17,-201.2365
42,25,-248.954
3,4,-254.0555
15,3,-413.7855
11,62,-147.09
9,344,-96.4645
58,597,-42.6255
72,3,-385.01999999999987
3,22,-242.773
4,7,-183.6
21,170,-81.76050000000002
4,21,-172.39700000000005
230,282,2.51753
59,236,5.1927
56,7,-353.4785
94,82,-91.0825
5,27,-179.0145
179,9,-229.3125
101,78,-98.2455
7,5,-336.684
68,13,-305.857
109,20,-242.2625
191,71,-83.01700000000002
31,290,-14.443549999999998
100,3,-363.288
50,17,-293.64799999999997
156,598,-29.38915
223,440,2.00243
132,77,-97.31299999999999
25,110,-49.8065
7,539,-45.38800000000001
7,55,-216.0845
95,870,-69.086
170,22,-187.1325
12,13,-252.458
5,5,-295.806
232,146,-8.845600000000003
6,19,-18.5192
17,3,-415.1515
26,936,-79.75949999999997
85,18,-269.112
47,75,-68.32000000000001
25,224,-51.4665
49,218,5.953749999999999
163,58,-115.819
11,884,-38.43
14,29,-78.6105
19,40,-59.59100000000001
17,901,-61.572
38,10,-341.9575
3,628,-112.03
19,9,-342.2235
298,9,-143.41
14,429,-28.750999999999998
74,140,-23.7564
4,14,-41.82000000000001
4,202,-233.519
12,188,-139.819
13,24,-117.83350000000002
207,204,3.237475
59,665,-55.4115
189,4,-274.94599999999997
149,76,-93.3165
10,221,-143.0705
5,832,-3.71095
9,10,-260.4705
4,991,-2.731150000000003
40,467,-13.49615
59,21,-270.54200000000003
86,19,-264.2205
7,28,-100.80799999999999
105,317,-8.234150000000003
134,313,-11.693199999999996
5,7,-231.47400000000002
197,316,2.507095
20,323,-40.056
6,350,-127.9205
4,20,-159.701
48,408,-9.478000000000002
12,147,-153.8665
56,35,-208.05599999999998
42,125,8.3673
5,12,-73.57000000000002
3,305,-214.2675
4,115,-277.6395
12,438,-37.182
16,374,-38.49500000000001
57,79,-78.7885
5,518,-82.29299999999998
10,18,-138.54649999999998
256,130,-9.270200000000004
72,26,-243.5575
23,121,-67.7265
268,20,-119.82049999999998
23,7,-367.96
17,315,-56.0795
11,35,-30.0911
49,3,-402.298
62,10,-327.612
8,170,-187.7765
86,6,-335.0055
6,361,-123.2295
9,180,-171.73950000000005
152,174,-15.533299999999995
5,952,24.7329
4,811,-33.623000000000005
10,5,-365.58
5,10,-136.1155
35,873,-79.23100000000002
31,762,-62.3275
6,155,-221.6735
6,316,-142.7475
10,71,-175.65900000000005
24,50,-52.238
5,675,-38.2585
62,3,-392.747
3,19,-212.86900000000003
14,19,-195.681
25,18,-271.8885
38,54,-109.099
8,57,-196.7185
22,479,7.91795
5,204,-212.7815
131,104,-61.68650000000001
14,87,-130.954
29,163,-42.223
19,104,-90.664
12,339,-75.2435
5,254,-187.711
261,9,-167.47050000000004
8,6,-327.2575
11,5,-371.0935
11,97,-171.6635
174,33,-157.3095
12,3,-409.4655
195,5,-253.514
18,125,-104.338
27,279,-30.3085
19,139,-97.3695
47,162,6.9596
8,611,-12.95134999999999
23,3,-415.86800000000005
181,75,-83.58850000000002
54,13,-314.896
9,141,-188.0985
3,74,-319.24300000000005
39,554,-30.7959
19,5,-388.435
288,9,-149.7045
185,38,-139.1105
98,180,-14.70355
16,4,-399.2345
299,3,-242.6515
44,59,-105.5125
3,11,-43.99800000000001
57,541,-36.8425
20,445,8.76415
3,473,-153.905
20,4,-401.723
268,4,-225.217
21,5,-389.449
47,355,5.0669
5,56,-264.6695
5,530,-78.5335
47,3,-403.698
