design1,design2,merit1,merit2
37,105,0.016007900000000002,1.95098
3,84,66.2096,16.381
47,44,36.1318,3.84746
883,19,16.7974,4.57373
10,29,2.53442,7.5278399999999985
12,7,71.7309,29.4344
51,5,78.0595,31.5387
223,3,59.277,31.8348
88,301,4.26481,0.757185
3,135,61.7255,13.9992
158,273,3.19797,0.6067600000000001
19,6,78.2595,32.3694
16,319,14.9052,2.42956
18,3,86.1291,59.6936
28,138,11.7862,2.1417
9,391,18.4659,3.659780000000002
4,5,55.1352,42.8426
130,38,37.8645,3.3549900000000004
420,10,17.0502,8.28599
3,607,26.4179,8.15367
7,4,75.2529,50.9368
100,22,51.4153,6.28031
664,6,73.4079,64.792
774,102,18.1782,0.880025
112,105,15.2544,1.35688
10,170,36.2244,4.6917
17,435,5.42854,2.0289
9,177,37.6709,5.06074
7,6,65.45,35.3483
53,871,19.1869,0.768622
45,122,2.01074,1.65291
5,31,44.2164,13.465
5,8,42.9056,27.3579
982,21,20.0548,4.23896
5,279,38.1393,6.92823
64,5,75.8858,29.5273
3,14,29.0996,22.6419
597,198,12.8127,0.5183989999999999
14,119,30.7344,3.96666
84,386,6.16529,0.700809
35,143,5.9923699999999975,1.79096
612,5,69.9682,70.7051
12,216,28.5579,3.64917
12,400,13.1961,2.8298900000000002
202,19,37.0769,5.54465
118,312,4.42321,0.642343
10,525,7.2783,2.97617
947,158,21.296999999999997,0.598847
94,4,72.9675,31.5716
12,20,33.2467,10.3972
8,10,51.2205,21.4885
120,16,52.6674,8.01489
97,90,18.8955,1.6212799999999998
78,18,57.8231,8.29503
5,5,62.1612,42.4804
44,123,1.4843600000000001,1.66165
795,47,17.7975,1.75027
15,3,85.7571,60.9962
3,196,55.7165,12.1133
88,77,23.2659,1.9219
91,478,8.44242,0.620279
27,19,56.8433,9.96402
3,538,29.9999,8.299710000000001
82,43,39.4575,3.43696
3,4,53.8111,52.6894
559,11,4.27214,7.3379600000000025
10,16,37.3872,13.2304
36,88,4.53,2.22534
13,8,69.8375,25.7281
36,55,22.7431,3.28534
8,218,35.9015,5.15372
5,32,45.32,13.3944
193,121,9.92326,0.997988
5,7,49.2948,31.084
36,346,1.35381,1.21624
54,356,3.5735,0.933117
599,37,8.70129,2.14703
31,31,42.5262,5.91442
57,372,4.67048,0.8917639999999999
41,27,50.4959,6.47598
948,387,16.2697,0.292752
14,332,16.0597,2.67703
3,724,21.1954,8.18265
119,579,9.83208,0.4950810000000001
54,3,82.7367,47.9824
7,961,7.06589,3.68085
288,18,25.3664,5.06533
52,25,53.4874,6.66362
536,4,66.3047,78.6053
27,14,64.6593,13.5657
284,20,24.8547,4.60618
12,364,15.9833,2.94045
232,266,0.192901,0.5211979999999999
521,21,0.20228,3.55139
4,181,51.8767,9.94072
4,25,45.3214,16.7789
7,5,70.3368,41.7853
13,4,81.8981,48.6063
812,6,100.0,0.0
97,4,72.4522,31.2215
305,87,6.71575,1.12905
97,38,41.2928,3.69771
72,29,49.4282,5.28522
13,27,19.2721,7.63893
597,4,64.2135,79.6297
641,3,100.0,0.0
6,103,51.8225,8.6857
6,5,66.9336,42.1287
3,3,63.4891,67.1706
260,600,3.20951,0.321495
3,308,45.6021,10.0846
114,30,44.2304,4.42623
4,11,9.30529,20.2075
3,641,24.7994,8.13317
7,35,34.0586,9.87939
12,77,33.0022,5.1737400000000004
4,670,15.8026,6.17359
34,13,67.0288,14.0447
874,177,19.5792,0.546475
342,66,6.625539999999999,1.3925299999999998
9,19,21.5831,11.215
48,36,42.9683,4.683680000000002
280,3,53.3259,31.5037
37,17,61.7411,10.5697
3,21,49.7801,21.6751
936,34,20.9329,2.41874
22,149,18.5713,2.51476
7,33,31.5448,9.98322
51,32,46.8964,5.20827
556,752,1.9566599999999998,0.21178899999999998
28,9,73.1607,20.8343
19,27,35.8966,7.30686
314,117,2.75153,0.862979
198,13,41.742,8.02402
10,3,83.7608,63.3572
152,376,5.14637,0.52313
452,60,1.67747,1.3998
21,5,80.8898,37.7178
510,212,9.70614,0.5006659999999999
542,71,8.40948,1.21144
313,508,1.42101,0.32010500000000003
45,220,2.54997,1.26057
27,3,85.9734,56.1754
63,7,72.5269,21.8719
6,354,28.2391,5.39037
8,6,68.4515,35.0666
783,792,5.64703,0.188013
916,142,21.039,0.657331
33,5,80.4873,34.9526
62,7,72.7195,21.9779
16,4,82.8469,47.5522
11,35,9.01822,6.707889999999999
14,69,25.3796,4.6764199999999985
35,21,56.3672,8.6216
177,45,29.3521,2.54926
249,887,8.98528,0.281016
165,27,38.5014,4.28369
16,88,24.884,3.89815
15,21,39.7766,9.68648
254,20,28.888,4.81569
47,19,59.6814,8.996080000000003
398,580,0.886793,0.27210300000000004
9,31,14.0941,8.13228
120,3,72.6408,36.9988
454,656,1.38849,0.243967
17,93,23.3617,3.64115
462,5,25.2395,19.2785
125,143,8.65617,1.0155299999999998
592,975,0.322344,0.180672
4,227,47.2027,9.06756
4,3,70.6087,66.5861
12,451,9.484110000000001,2.69637
262,160,2.12374,0.7114020000000001
377,23,12.6409,3.6153199999999996
36,34,41.6461,5.24915
8,77,45.448,7.3666199999999975
46,26,52.1406,6.57625
727,3,100.0,0.0
389,11,18.9,7.52705
176,3,64.9207,33.111
15,11,63.9412,18.5938
152,8,54.7936,14.0948
41,31,46.2576,5.62426
126,5,64.7619,23.3087
166,54,27.387,2.19054
469,76,4.38985,1.14477
42,141,1.97928,1.59328
294,15,26.4255,5.98423
56,6,75.3742,26.0795
7,8,55.7583,26.9175
54,36,43.7426,4.56531
10,12,51.1114,17.667
668,159,15.2414,0.610116
10,288,25.4584,3.7919099999999997
775,16,11.8037,5.3063400000000005
28,4,83.1623,43.8685
884,5,100.0,0.0
784,55,17.7592,1.51837
134,7,59.4728,16.7591
9,24,4.56024,8.89446
4,238,46.1025,8.892560000000003
57,35,44.723,4.63662
280,28,22.0635,3.36241
5,612,13.9172,5.13575
131,19,48.5804,6.56974
430,695,0.667496,0.23953000000000002
8,159,41.5566,5.83536
167,52,27.9506,2.26748
82,4,75.0527,33.1069
35,75,9.009889999999999,2.52718
13,3,85.2658,61.9099
812,380,14.1415,0.303737
685,287,13.7342,0.38199
557,3,56.7155,87.8914
8,14,34.3932,15.3724
93,138,9.245619999999999,1.16245
42,5,79.406,33.1475
124,59,29.2982,2.226
211,245,0.8981040000000001,0.56976
165,134,9.97146,0.971716
47,7,75.0822,23.7326
45,57,25.8558,3.02199
257,9,37.0419,10.3419
79,19,56.7696,7.83425
25,7,76.7499,26.9618
95,25,49.9666,5.63305
21,55,2.34694,3.68583
129,22,46.9273,5.7333
9,771,4.12226,2.97146
696,482,9.76901,0.264504
12,228,27.5263,3.57085
408,86,1.08274,1.03997
14,141,30.2918,3.74855
560,18,1.37075,4.16856
20,557,4.0753900000000005,1.6704900000000005
402,109,2.61052,0.861748
6,178,45.0795,7.1458
79,45,38.1365,3.3209699999999995
28,282,8.04955,1.61149
676,502,8.62536,0.257923
129,26,44.4742,4.87317
5,4,68.6141,51.7931
332,6,33.5972,15.1142
25,123,14.4602,2.4365099999999997
30,446,2.45726,1.28905
15,290,18.2876,2.66975
744,45,15.9405,1.81667
47,15,64.1981,11.3939
323,871,4.89239,0.24683400000000005
58,34,45.6379,4.75732
860,14,13.6973,6.6064300000000005
28,18,58.669,10.4677
8,580,7.392339999999999,3.47954
290,6,38.3586,15.3118
48,70,19.4426,2.46117
493,293,9.02646,0.40034400000000003
50,225,0.98683,1.16041
83,38,42.3389,3.87525
372,998,4.89913,0.218014
176,291,2.36922,0.555978
184,50,26.5923,2.27176
4,625,18.034000000000002,6.24021
7,758,0.383834,3.57959
83,4,74.8806,32.9697
22,309,10.4999,1.88691
369,353,3.3455699999999995,0.373948
99,5,69.5617,25.4839
19,12,65.0636,16.6113
109,6,65.7287,20.8797
202,4,56.2042,24.6619
74,119,10.0895,1.40613
213,418,2.48758,0.420049
65,5,75.7085,29.386
3,29,59.8449,20.7158
4,26,46.8081,16.6839
854,17,15.113,5.15816
269,47,17.7639,2.08794
22,3,86.1974,58.0655
417,189,6.50075,0.564634
53,307,1.86932,0.9911709999999999
6,67,52.3846,9.81013
32,177,9.34447,1.7575
3,56,67.1809,18.2255
4,37,56.6504,15.7483
247,799,6.98295,0.291919
43,9,72.4801,19.1396
339,63,7.4283899999999985,1.45757
283,371,1.38215,0.397331
26,13,66.0164,14.6943
21,244,15.5552,2.1619599999999997
555,57,8.18866,1.46469
30,4,83.0021,43.3171
3,51,66.9388,18.6209
4,504,24.9179,6.6188
65,286,3.2725,0.912062
150,4,63.731,26.7672
131,54,30.6392,2.37818
856,196,19.1533,0.503944
541,14,2.63446,5.48651
10,95,39.9631,5.7073199999999975
46,226,2.11487,1.22768
3,6,34.4361,36.5407
999,3,100.0,0.0
800,185,18.1888,0.530957
4,91,60.5107,12.6955
14,108,30.7323,4.09715
16,857,13.5694,1.92578
8,12,42.7354,17.9361
43,61,22.4095,2.8658
341,26,15.4988,3.3420300000000003
289,41,17.0588,2.31262
198,817,10.302,0.326648
113,162,6.92513,0.966035
956,25,20.2862,3.4051199999999997
92,66,27.3005,2.18935
42,181,3.5122800000000005,1.4343700000000001
170,192,4.23613,0.7313970000000001
6,16,7.76005,13.6767
3,28,58.9839,20.8276
15,28,24.3805,7.250610000000001
566,8,8.593689999999999,11.0581
78,30,48.1725,4.99405
5,318,34.5715,6.5651800000000025
42,61,21.9549,2.8831900000000004
183,10,47.0343,10.6185
12,24,22.4541,8.656830000000001
127,65,27.023000000000003,2.01453
24,72,3.82689,3.0093400000000003
